Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
1,Bratislavský kraj,101,Bratislava,1,Pirátska strana - Slovensko,710,0.25,451,63.52
1,Bratislavský kraj,101,Bratislava,2,PRINCÍP,74,0.02,52,70.27
1,Bratislavský kraj,101,Bratislava,3,Progresívne Slovensko,93835,33.95,72213,76.95
1,Bratislavský kraj,101,Bratislava,4,SPOLOČNE OBČANIA SLOVENSKA,142,0.05,71,50.0
1,Bratislavský kraj,101,Bratislava,5,OĽANO A PRIATELIA,14834,5.36,12832,86.5
1,Bratislavský kraj,101,Bratislava,6,Komunistická strana Slovenska,413,0.14,249,60.29
1,Bratislavský kraj,101,Bratislava,7,Maďarské fórum,196,0.07,167,85.2
1,Bratislavský kraj,101,Bratislava,8,Vlastenecký blok,65,0.02,42,64.61
1,Bratislavský kraj,101,Bratislava,9,"Modrí, Most - Híd",930,0.33,734,78.92
1,Bratislavský kraj,101,Bratislava,10,SPRAVODLIVOSŤ,124,0.04,82,66.12
1,Bratislavský kraj,101,Bratislava,11,Slovenské Hnutie Obrody,63,0.02,39,61.9
1,Bratislavský kraj,101,Bratislava,12,Sloboda a Solidarita,38091,13.78,31687,83.18
1,Bratislavský kraj,101,Bratislava,13,SME RODINA,4131,1.49,3355,81.21
1,Bratislavský kraj,101,Bratislava,14,MySlovensko,254,0.09,167,65.74
1,Bratislavský kraj,101,Bratislava,15,Slovenská národná strana,11337,4.1,10014,88.33
1,Bratislavský kraj,101,Bratislava,16,SMER - sociálna demokracia,48341,17.49,39817,82.36
1,Bratislavský kraj,101,Bratislava,17,HLAS - sociálna demokracia,25893,9.36,20944,80.88
1,Bratislavský kraj,101,Bratislava,18,SZÖVETSÉG - Magyarok,1462,0.52,1154,78.93
1,Bratislavský kraj,101,Bratislava,19,SRDCE vlastenci a dôchodcovia,199,0.07,118,59.29
1,Bratislavský kraj,101,Bratislava,20,SDKU - DS,51,0.01,27,52.94
1,Bratislavský kraj,101,Bratislava,21,Kotlebovci - Ľudová strana Naše Slovensko,1412,0.51,1250,88.52
1,Bratislavský kraj,101,Bratislava,22,Demokrati,12684,4.58,11142,87.84
1,Bratislavský kraj,101,Bratislava,23,Kresťanskodemokratické hnutie,13553,4.9,10727,79.14
1,Bratislavský kraj,101,Bratislava,24,KARMA,210,0.07,107,50.95
1,Bratislavský kraj,101,Bratislava,25,REPUBLIKA,7352,2.66,6228,84.71
1,Bratislavský kraj,102,Malacky,1,Pirátska strana - Slovensko,175,0.39,101,57.71
1,Bratislavský kraj,102,Malacky,2,PRINCÍP,10,0.02,6,60.0
1,Bratislavský kraj,102,Malacky,3,Progresívne Slovensko,9540,21.65,6776,71.02
1,Bratislavský kraj,102,Malacky,4,SPOLOČNE OBČANIA SLOVENSKA,41,0.09,23,56.09
1,Bratislavský kraj,102,Malacky,5,OĽANO A PRIATELIA,3690,8.37,3033,82.19
1,Bratislavský kraj,102,Malacky,6,Komunistická strana Slovenska,145,0.32,89,61.37
1,Bratislavský kraj,102,Malacky,7,Maďarské fórum,15,0.03,12,80.0
1,Bratislavský kraj,102,Malacky,8,Vlastenecký blok,17,0.03,14,82.35
1,Bratislavský kraj,102,Malacky,9,"Modrí, Most - Híd",60,0.13,49,81.66
1,Bratislavský kraj,102,Malacky,10,SPRAVODLIVOSŤ,25,0.05,10,40.0
1,Bratislavský kraj,102,Malacky,11,Slovenské Hnutie Obrody,19,0.04,12,63.15
1,Bratislavský kraj,102,Malacky,12,Sloboda a Solidarita,3698,8.39,2983,80.66
1,Bratislavský kraj,102,Malacky,13,SME RODINA,1223,2.77,983,80.37
1,Bratislavský kraj,102,Malacky,14,MySlovensko,79,0.17,60,75.94
1,Bratislavský kraj,102,Malacky,15,Slovenská národná strana,2091,4.74,1835,87.75
1,Bratislavský kraj,102,Malacky,16,SMER - sociálna demokracia,10552,23.95,8780,83.2
1,Bratislavský kraj,102,Malacky,17,HLAS - sociálna demokracia,6267,14.22,5060,80.74
1,Bratislavský kraj,102,Malacky,18,SZÖVETSÉG - Magyarok,26,0.05,19,73.07
1,Bratislavský kraj,102,Malacky,19,SRDCE vlastenci a dôchodcovia,27,0.06,15,55.55
1,Bratislavský kraj,102,Malacky,20,SDKU - DS,16,0.03,7,43.75
1,Bratislavský kraj,102,Malacky,21,Kotlebovci - Ľudová strana Naše Slovensko,418,0.94,340,81.33
1,Bratislavský kraj,102,Malacky,22,Demokrati,1645,3.73,1370,83.28
1,Bratislavský kraj,102,Malacky,23,Kresťanskodemokratické hnutie,1961,4.45,1342,68.43
1,Bratislavský kraj,102,Malacky,24,KARMA,46,0.1,32,69.56
1,Bratislavský kraj,102,Malacky,25,REPUBLIKA,2261,5.13,1880,83.14
1,Bratislavský kraj,103,Pezinok,1,Pirátska strana - Slovensko,122,0.29,74,60.65
1,Bratislavský kraj,103,Pezinok,2,PRINCÍP,14,0.03,8,57.14
1,Bratislavský kraj,103,Pezinok,3,Progresívne Slovensko,10763,26.12,7766,72.15
1,Bratislavský kraj,103,Pezinok,4,SPOLOČNE OBČANIA SLOVENSKA,39,0.09,20,51.28
1,Bratislavský kraj,103,Pezinok,5,OĽANO A PRIATELIA,2876,6.98,2401,83.48
1,Bratislavský kraj,103,Pezinok,6,Komunistická strana Slovenska,188,0.45,127,67.55
1,Bratislavský kraj,103,Pezinok,7,Maďarské fórum,17,0.04,14,82.35
1,Bratislavský kraj,103,Pezinok,8,Vlastenecký blok,32,0.07,23,71.87
1,Bratislavský kraj,103,Pezinok,9,"Modrí, Most - Híd",67,0.16,41,61.19
1,Bratislavský kraj,103,Pezinok,10,SPRAVODLIVOSŤ,37,0.08,22,59.45
1,Bratislavský kraj,103,Pezinok,11,Slovenské Hnutie Obrody,21,0.05,9,42.85
1,Bratislavský kraj,103,Pezinok,12,Sloboda a Solidarita,3943,9.57,3140,79.63
1,Bratislavský kraj,103,Pezinok,13,SME RODINA,821,1.99,642,78.19
1,Bratislavský kraj,103,Pezinok,14,MySlovensko,45,0.1,27,60.0
