Číslo politického subjektu,Názov politického subjektu,Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Obec trvalého pobytu,Poznámka
1,Pirátska strana - Slovensko,1,Zuzana,Šubová,Ing.,54,ekonómka,Bratislava,
1,Pirátska strana - Slovensko,2,Michal,Pírek,"Mgr., PhD.",45,historik,Hamuliakovo,
1,Pirátska strana - Slovensko,3,Dajana,Maxian Rosová,Ing.,41,ekonómka,Stupava,
1,Pirátska strana - Slovensko,4,Ján,Berceli,PhDr.,43,podnikateľ,Kútniky,
1,Pirátska strana - Slovensko,5,Dagmar,Kačíreková,Ing.,44,geodetka,Topoľčany,
1,Pirátska strana - Slovensko,6,Veronika,Kvetáková,Ing.,46,projektová manažérka,Bratislava,
1,Pirátska strana - Slovensko,7,Drahomír,Širůčka,JUDr.,58,štátny zamestnanec,Rimavská Sobota,
1,Pirátska strana - Slovensko,8,Lenka,Hamšíková,Mgr.,43,riaditeľka umeleckého festivalu,Bratislava,
1,Pirátska strana - Slovensko,9,Juraj,Krátky,Ing.,54,projektový manažér,Žiar nad Hronom,
1,Pirátska strana - Slovensko,10,Martin,Eštočák,JUDr.,34,poslanec mestského zastupiteľstva,Prešov,
1,Pirátska strana - Slovensko,11,Peter,Uličný,,65,hudobník,Bratislava,
1,Pirátska strana - Slovensko,12,Dana,Miri,MUDr.,60,primárka rehabilitačného oddelenia,Rimavská Sobota,
1,Pirátska strana - Slovensko,13,Iveta,Klačanská,,40,profesionálna trénerka,Topoľčany,
1,Pirátska strana - Slovensko,14,Jaroslav,Nosaľ,"Mgr., MSc., LL.M.",45,informatik,Vyšná Šebastová,
1,Pirátska strana - Slovensko,15,Norbert,Astaloš,Ing.,44,štátny zamestnanec,Rimavská Sobota,
1,Pirátska strana - Slovensko,16,Karolína,Ivanová,Ing.,59,profesionálna koučka,Dunajská Lužná,
1,Pirátska strana - Slovensko,17,Alexander,Máteffy,,52,podnikateľ,Bratislava,
1,Pirátska strana - Slovensko,18,Benjamín,Schlesinger,MgA,31,stredoškolský učiteľ,Sabinov,
1,Pirátska strana - Slovensko,19,Milena,Moravcová,Mgr.,60,ekonómka,Bratislava,
1,Pirátska strana - Slovensko,20,Branislava,Pírková,MDDr.,36,zubná lekárka,Hamuliakovo,
1,Pirátska strana - Slovensko,21,Sandra,Morgošová,Bc.,26,študentka,Turany,
1,Pirátska strana - Slovensko,22,Katarína,Ringelband,Bc.,53,medicínska konzultantka,Bratislava,
1,Pirátska strana - Slovensko,23,Ľubica,Peerová,Ing.,57,učiteľka,Bratislava,
1,Pirátska strana - Slovensko,24,Martin,Kresák,Ing.,32,elektrotechnik,Košice,
1,Pirátska strana - Slovensko,25,Rastislav,Dubovský,Mgr.,43,živnostník,Bratislava,
1,Pirátska strana - Slovensko,26,Slavka,Švantnerová,Mgr.,56,učiteľka,Hrachovo,
1,Pirátska strana - Slovensko,27,Lucia,Appelová,Bc.,37,administratívna pracovníčka,Stupava,
1,Pirátska strana - Slovensko,28,Filip,Kulich,"Ing., DiS.",31,konštruktér,Švošov,
1,Pirátska strana - Slovensko,29,Beáta,Drdáková,MUDr.,39,oftalmologička,Švošov,
1,Pirátska strana - Slovensko,30,Rudolf,Molnár,,45,diagnostik IT,Šenkvice,
1,Pirátska strana - Slovensko,31,Natália,Ivasiuková,Ing.,59,odborná radkyňa,Prešov,
1,Pirátska strana - Slovensko,32,Sylvia,Bolechová,,49,účtovníčka,Kálnica,
1,Pirátska strana - Slovensko,33,Eva,Uričová,,65,dôchodkyňa,Bratislava,
1,Pirátska strana - Slovensko,34,Zdeno,Belanský,,49,IT špecialista,Bratislava,
1,Pirátska strana - Slovensko,35,Stanislav,Bednár,,52,elektrotechnik,Považská Bystrica,
1,Pirátska strana - Slovensko,36,Slavomíra,Krátka,DiS.art.,51,pedagogička,Žiar nad Hronom,
1,Pirátska strana - Slovensko,37,Juraj,Bittmann,,25,živnostník,Žiar nad Hronom,
1,Pirátska strana - Slovensko,38,Juraj,Rác,,40,realitný konzultant,Stupava,
1,Pirátska strana - Slovensko,39,Veronika,Ovádeková,,54,referentka,Vlčany,
1,Pirátska strana - Slovensko,40,Peter,Pavol,Bc.,24,"živnostník, študent",Poprad,
1,Pirátska strana - Slovensko,41,Pavol,Drdák,,39,stolár,Švošov,
1,Pirátska strana - Slovensko,42,Patrik,Novotný,,28,referent,Bratislava,
1,Pirátska strana - Slovensko,43,Jarmila,Miškusová,,55,podnikateľka,Príbovce,
1,Pirátska strana - Slovensko,44,Ondrej,Forgáč,,31,opatrovateľ,Humenné,
1,Pirátska strana - Slovensko,45,Renáta,Gábrišová,,54,živnostníčka,Jablonec,
1,Pirátska strana - Slovensko,46,Tomáš,Bodó,,41,podnikateľ,Bratislava,
1,Pirátska strana - Slovensko,47,Július,Vrábeľ,Ing.,60,živnostník,Rimavská Sobota,
1,Pirátska strana - Slovensko,48,Daniel,Mego,,43,projektový manažér,Pezinok,
1,Pirátska strana - Slovensko,49,Stanislav,Repčák,,49,technik,Krompachy,
1,Pirátska strana - Slovensko,50,Štefan,Wimmer,,67,dôchodca,Bratislava,
1,Pirátska strana - Slovensko,51,Milan,Hrabko,,37,pracovník bezpečnostnej služby,Banská Štiavnica,
1,Pirátska strana - Slovensko,52,Iveta,Rusznyáková,,54,technická pracovníčka,Bratislava,
1,Pirátska strana - Slovensko,53,Marek,Kvak,,33,zdravotnícky pracovník,Mudroňovo,
1,Pirátska strana - Slovensko,54,Vladimír,Kaplin,,35,stolár,Bratislava,
1,Pirátska strana - Slovensko,55,Anna,Brezániová,,62,štátna zamestnankyňa,Rimavská Sobota,
1,Pirátska strana - Slovensko,56,Erik,Lackovič,,24,šofér,Bratislava,
1,Pirátska strana - Slovensko,57,Jozef,Brezovský,,56,novinár,Bratislava,
1,Pirátska strana - Slovensko,58,Ľuboš,Noga,,45,zásobovač,Pezinok,
1,Pirátska strana - Slovensko,59,Pavol,Zedník,,53,šofér,Bratislava,
1,Pirátska strana - Slovensko,60,Anton,Pižurný,,62,spisovateľ,Banská Štiavnica,
2,PRINCÍP,1,Atila,Géňa,,45,starosta,Žehňa,X
2,PRINCÍP,2,Alfonz,Kaliaš,Mgr.,59,konateľ,Vranov nad Topľou,
2,PRINCÍP,3,Mikuláš,Vareha,,61,výsluhový dôchodca,Malá Tŕňa,
2,PRINCÍP,4,Marián,Geci,Ing.,53,živnostník,Roztoky,
2,PRINCÍP,5,Katarína,Marcišová,,39,manažérka,Košice,
2,PRINCÍP,6,Helena,Laliková,,60,živnostníčka,Roštár,
2,PRINCÍP,7,Jozef,Petráš,,54,konateľ firmy,Miňovce,
2,PRINCÍP,8,Atila,Oláh,,50,živnostník,Fiľakovo,
2,PRINCÍP,9,Nikoleta,Balogová,,37,živnostníčka,Streda nad Bodrogom,
2,PRINCÍP,10,Jozef,Petráš,Ing.,29,nezamestnaný,Miňovce,
2,PRINCÍP,11,Michal,Fízik,,45,živnostník,Zvolen,
2,PRINCÍP,12,František,Koscs,,55,súkromný podnikateľ,Bratislava,
2,PRINCÍP,13,Patrik,Timčík,,43,robotník,Krompachy,
2,PRINCÍP,14,Alfonz,Kaliaš,Mgr.,37,terénny sociálny pracovník,Vranov nad Topľou,
2,PRINCÍP,15,Ivan,Kovanda,Ing.,66,dôchodca,Slovenská Ľupča,
2,PRINCÍP,16,Marián,Veselský,,54,konateľ firmy,Stropkov,
2,PRINCÍP,17,Peter,Červeňák,Ing.,37,štatutár OZ,Roštár,
2,PRINCÍP,18,Rudolf,Felšöci,,57,súkromný podnikateľ,Lekárovce,
2,PRINCÍP,19,Radovan,Levický,,44,konateľ firmy,Stropkov,
2,PRINCÍP,20,Martin,Makula,,41,hudobník,Malčice,
2,PRINCÍP,21,Jana,Haňaková,DiS. art,51,tanečná pedagogička ZUŠ,Svidník,
2,PRINCÍP,22,Róbert,Fráter,,30,hudobník,Sabinov,
2,PRINCÍP,23,Laura,Ninčáková,,26,nezamestnaná,Snina,
2,PRINCÍP,24,Viktor,Polhoš,,61,operátor výroby,Veľká Lomnica,
2,PRINCÍP,25,Viera,Handi,,54,administratívna pracovníčka,Trnava,
2,PRINCÍP,26,Martin,Juhas,Ing. Bc.,31,nezamestnaný,Radoma,
2,PRINCÍP,27,Karel,Váradi,,68,starosta,Bulhary,X
2,PRINCÍP,28,Michal,Micaj,,59,výsluhový dôchodca,Kalinov,
2,PRINCÍP,29,Silvia,Danková,,40,operátorka výroby,Smolnícka Huta,
2,PRINCÍP,30,Ladislav,Varecha,,57,živnostník,Medzilaborce,
2,PRINCÍP,31,Ľubomír,Havrilec,,52,živnostník - murár,Zubné,
2,PRINCÍP,32,Jozef,Petraš,,59,živnostník,Vislava,
2,PRINCÍP,33,Monika,Davidová,,53,operátorka výroby,Humenné,
2,PRINCÍP,34,Ľubomír,Korchan,,64,dôchodca,Spišské Podhradie,
2,PRINCÍP,35,Lukáš,Tomaško,,30,robotník,Gelnica,
2,PRINCÍP,36,Ján,Tancoš,,53,podnikateľ,Zámutov,
2,PRINCÍP,37,Štefan,Hozza,,59,vodič MKD,Nálepkovo,
2,PRINCÍP,38,Jaroslava,Marinaková,,60,invalidná dôchodkyňa,Chmeľov,
2,PRINCÍP,39,Patrik,Adam,,32,živnostník,Košice,
2,PRINCÍP,40,Miroslav,Juhász,,57,nezamestnaný,Košice,
2,PRINCÍP,41,Marek,Sedlák,,37,operátor výroby,Prakovce,
2,PRINCÍP,42,Jozef,Červeňák,,38,podnikateľ,Roštár,
2,PRINCÍP,43,Ľubomír,Žolna,,58,podnikateľ,Humenné,
2,PRINCÍP,44,Jaroslava,Basová,,51,upratovačka,Brezovka,
2,PRINCÍP,45,Zdeno,Pompa,,41,podnikateľ,Veľká Lomnica,
2,PRINCÍP,46,Viktor,Gaško,Ing.,33,nezamestnaný,Vinné,
2,PRINCÍP,47,Ján,Šmajda,,55,invalidný dôchodca,Miňovce,
2,PRINCÍP,48,Peter,Horváth,,36,živnostník,Žehňa,
2,PRINCÍP,49,Rudolf,Motýl,,30,podnikateľ,Košice,
2,PRINCÍP,50,Vanesa,Gregová,,26,robotníčka,Prakovce,
2,PRINCÍP,51,Rudolf,Mačo,,37,skladník,Žehňa,
2,PRINCÍP,52,Peter,Pavlinský,,40,živnostník,Závada,
2,PRINCÍP,53,Marián,Kapa,,55,vodič z povolania,Miňovce,
2,PRINCÍP,54,Daniel,Balog,,28,vodár,Tuhrina,
2,PRINCÍP,55,Alexej,Hanko,,22,súkromný podnikateľ,Košice,
2,PRINCÍP,56,Zdena,Vencelová,,53,sanitárka,Gelnica,
2,PRINCÍP,57,Stanislav,Feko,,35,operátor výroby,Červenica,
2,PRINCÍP,58,Ján,Dudáš,,41,mechanik,Borša,
2,PRINCÍP,59,Andrea,Irdzová,,41,opatrovateľka,Volica,
2,PRINCÍP,60,Andrej,Danečko,Ing.,64,dôchodca,Košice,
2,PRINCÍP,61,Martina,Fedor Bučková,Mgr.,38,sociálna pracovníčka,Gelnica,X
2,PRINCÍP,62,Patrik,Kollár,,25,živnostník,Gelnica,
2,PRINCÍP,63,Diana,Schützová,Mgr.,26,CVČ - vychovávateľka,Gelnica,X
2,PRINCÍP,64,Gabriel,Pajunk,,28,software engineer,Snina,X
2,PRINCÍP,65,Paulína,Kollárová,,45,opatrovateľka,Gelnica,
2,PRINCÍP,66,Eva,Ninčáková,,49,opatrovateľka,Snina,
2,PRINCÍP,67,Alena,Kundratová,,46,asistentka predaja,Lipany,
2,PRINCÍP,68,Andrej,Kaputa,Mgr.,76,dôchodca,Svidník,
2,PRINCÍP,69,Jozef,Leľo,,71,dôchodca,Havranec,
2,PRINCÍP,70,Miroslava,Jancurová,,38,opatrovateľka,Malá Poľana,
3,Progresívne Slovensko,1,Michal,Šimečka,DPhil,39,podpredseda europarlamentu,Bratislava,
3,Progresívne Slovensko,2,Lucia,Plaváková,"JUDr., PhD.",39,advokátka,Bratislava,
3,Progresívne Slovensko,3,Michal,Truban,Ing.,39,"podnikateľ, športovec",Bratislava,
3,Progresívne Slovensko,4,Tamara,Stohlová,MSc,34,environmentalistka,Bratislava,
3,Progresívne Slovensko,5,Tomáš,Valášek,M.A.,51,poslanec parlamentu,Bratislava,
3,Progresívne Slovensko,6,Zora,Jaurová,Mgr. art.,50,"producentka, expertka na kultúru",Bratislava,
3,Progresívne Slovensko,7,Ivan,Štefunko,Mgr.,46,podnikateľ,Bratislava,
