Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Počet volebných okrskov,Počet potvrdených okrskových zápisníc,Podiel potvrdených okrskových zápisníc v %,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %,Počet odovzdaných obálok na hlasovanie,Podiel odovzdaných obálok v %,Počet platných hlasov spolu,Podiel platných hlasov spolu v %
1,Bratislavský kraj,101,Bratislava,398,398,100.0,376815,279301,74.12,278425,99.68,276356,98.94
1,Bratislavský kraj,102,Malacky,59,59,100.0,62257,44552,71.56,44507,99.89,44047,98.86
1,Bratislavský kraj,103,Pezinok,54,54,100.0,54633,41635,76.2,41563,99.82,41194,98.94
1,Bratislavský kraj,104,Senec,76,76,100.0,76751,59314,77.28,59176,99.76,58655,98.88
2,Trnavský kraj,201,Dunajská Streda,127,127,100.0,103988,63266,60.83,63183,99.86,62365,98.57
2,Trnavský kraj,202,Galanta,84,84,100.0,77801,51473,66.15,51406,99.86,50733,98.56
2,Trnavský kraj,203,Piešťany,63,63,100.0,51531,36561,70.94,36536,99.93,36200,99.01
2,Trnavský kraj,204,Senica,97,97,100.0,87310,58567,67.07,58499,99.88,57737,98.58
2,Trnavský kraj,205,Trnava,159,159,100.0,142437,104112,73.09,103960,99.85,102914,98.84
3,Trenčiansky kraj,301,Bánovce nad Bebravou,62,62,100.0,28982,21151,72.97,21141,99.95,20901,98.81
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,99,99,100.0,71482,51101,71.48,51057,99.91,50493,98.81
3,Trenčiansky kraj,303,Považská Bystrica,124,124,100.0,85092,63270,74.35,63220,99.92,62384,98.59
3,Trenčiansky kraj,304,Prievidza,185,185,100.0,143431,100715,70.21,100648,99.93,99575,98.86
3,Trenčiansky kraj,305,Trenčín,176,176,100.0,138484,102687,74.15,102514,99.83,101425,98.77
4,Nitriansky kraj,401,Komárno,108,108,100.0,82076,46246,56.34,46219,99.94,45614,98.63
4,Nitriansky kraj,402,Levice,162,162,100.0,89733,56937,63.45,56889,99.91,56123,98.57
4,Nitriansky kraj,403,Nitra,211,211,100.0,166804,120557,72.27,120478,99.93,119143,98.82
4,Nitriansky kraj,404,Nové Zámky,136,136,100.0,112357,71972,64.05,71894,99.89,71020,98.67
4,Nitriansky kraj,405,Šaľa,42,42,100.0,41134,26151,63.57,26122,99.88,25824,98.74
4,Nitriansky kraj,406,Topoľčany,88,88,100.0,57675,42042,72.89,42001,99.9,41492,98.69
5,Žilinský kraj,501,Čadca,77,77,100.0,71161,50266,70.63,50199,99.86,49560,98.59
5,Žilinský kraj,502,Dolný Kubín,43,43,100.0,30771,22276,72.39,22250,99.88,22045,98.96
5,Žilinský kraj,503,Liptovský Mikuláš,96,96,100.0,60519,42970,71.0,42937,99.92,42453,98.79
5,Žilinský kraj,504,Martin,138,138,100.0,89034,64825,72.8,64766,99.9,64064,98.82
5,Žilinský kraj,505,Námestovo,82,82,100.0,74571,54907,73.63,54848,99.89,54088,98.5
5,Žilinský kraj,506,Ružomberok,59,59,100.0,46043,33224,72.15,33194,99.9,32859,98.9
5,Žilinský kraj,507,Žilina,221,221,100.0,179250,134033,74.77,133861,99.87,132403,98.78
6,Banskobystrický kraj,601,Banská Bystrica,130,130,100.0,87143,63105,72.41,63069,99.94,62387,98.86
6,Banskobystrický kraj,602,Brezno,66,66,100.0,48267,31693,65.66,31668,99.92,31217,98.49
6,Banskobystrický kraj,603,Lučenec,134,134,100.0,72365,41639,57.54,41608,99.92,41033,98.54
6,Banskobystrický kraj,604,Rimavská Sobota,217,217,100.0,91762,48872,53.25,48819,99.89,47863,97.93
6,Banskobystrický kraj,605,Veľký Krtíš,83,83,100.0,33591,20294,60.41,20283,99.94,20003,98.56
6,Banskobystrický kraj,606,Zvolen,164,164,100.0,96797,67673,69.91,67626,99.93,66941,98.91
6,Banskobystrický kraj,607,Žiar nad Hronom,114,114,100.0,70355,48814,69.38,48769,99.9,48115,98.56
7,Prešovský kraj,701,Bardejov,116,116,100.0,58308,39693,68.07,39671,99.94,39218,98.8
7,Prešovský kraj,702,Humenné,165,165,100.0,84388,53540,63.44,53499,99.92,52870,98.74
7,Prešovský kraj,703,Kežmarok,68,68,100.0,53635,34294,63.93,34251,99.87,33707,98.28
7,Prešovský kraj,704,Poprad,140,140,100.0,108523,72878,67.15,72786,99.87,71847,98.58
7,Prešovský kraj,705,Prešov,233,232,99.57,174480,120828,69.25,120707,99.89,119079,98.55
7,Prešovský kraj,706,Stará Ľubovňa,62,62,100.0,39279,25447,64.78,25435,99.95,25136,98.77
7,Prešovský kraj,707,Stropkov,52,52,100.0,15507,10194,65.73,10184,99.9,10060,98.68
7,Prešovský kraj,708,Svidník,78,78,100.0,24824,16350,65.86,16327,99.85,16133,98.67
7,Prešovský kraj,709,Vranov nad Topľou,93,93,100.0,60404,39731,65.77,39695,99.9,39151,98.54
8,Košický kraj,801,Košice,193,193,100.0,183509,117017,63.76,116868,99.87,115850,99.0
8,Košický kraj,802,Košice - okolie,149,149,100.0,99663,63488,63.7,63399,99.85,62255,98.05
8,Košický kraj,803,Michalovce,183,183,100.0,101670,59525,58.54,59457,99.88,58682,98.58
8,Košický kraj,804,Rožňava,88,88,100.0,46301,26008,56.17,25983,99.9,25547,98.22
8,Košický kraj,805,Spišská Nová Ves,114,114,100.0,96361,58833,61.05,58730,99.82,57795,98.23
8,Košický kraj,806,Trebišov,128,128,100.0,79888,44317,55.47,44288,99.93,43484,98.12
9,Cudzina,900,Cudzina,18,18,100.0,59730,58779,98.4,58333,99.24,57856,98.42
