Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Počet volebných okrskov,Počet potvrdených okrskových zápisníc,Podiel potvrdených okrskových zápisníc v %,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %,Počet odovzdaných obálok na hlasovanie,Podiel odovzdaných obálok v %,Počet platných hlasov spolu,Podiel platných hlasov spolu v %
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,34,34,100.0,37237,28568,76.71,28521,99.83,28381,99.34
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,102,102,100.0,100135,73371,73.27,73141,99.68,72544,98.87
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,69,69,100.0,58392,44146,75.6,44106,99.9,43772,99.15
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,90,90,100.0,82584,62097,75.19,62004,99.85,61498,99.03
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,103,103,100.0,98467,71119,72.22,70653,99.34,70161,98.65
1,Bratislavský kraj,102,Malacky,106,Malacky,59,59,100.0,62257,44552,71.56,44507,99.89,44047,98.86
1,Bratislavský kraj,103,Pezinok,107,Pezinok,54,54,100.0,54633,41635,76.2,41563,99.82,41194,98.94
1,Bratislavský kraj,104,Senec,108,Senec,76,76,100.0,76751,59314,77.28,59176,99.76,58655,98.88
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,127,127,100.0,103988,63266,60.83,63183,99.86,62365,98.57
2,Trnavský kraj,202,Galanta,202,Galanta,84,84,100.0,77801,51473,66.15,51406,99.86,50733,98.56
2,Trnavský kraj,203,Piešťany,204,Piešťany,63,63,100.0,51531,36561,70.94,36536,99.93,36200,99.01
2,Trnavský kraj,204,Senica,205,Senica,53,53,100.0,49332,33195,67.28,33161,99.89,32744,98.64
2,Trnavský kraj,204,Senica,206,Skalica,44,44,100.0,37978,25372,66.8,25338,99.86,24993,98.5
2,Trnavský kraj,205,Trnava,203,Hlohovec,46,46,100.0,35880,25660,71.51,25632,99.89,25357,98.81
2,Trnavský kraj,205,Trnava,207,Trnava,113,113,100.0,106557,78452,73.62,78328,99.84,77557,98.85
