Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet volebných okrskov,Počet potvrdených okrskových zápisníc,Podiel potvrdených okrskových zápisníc v %,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %,Počet odovzdaných obálok na hlasovanie,Podiel odovzdaných obálok v %,Počet platných hlasov spolu,Podiel platných hlasov spolu v %
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,34,34,100.0,37237,28568,76.71,28521,99.83,28381,99.34
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,19,19,100.0,18464,13018,70.5,13016,99.98,12888,99.0
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,70,70,100.0,65511,49252,75.18,49046,99.58,48663,98.8
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,13,13,100.0,16160,11101,68.69,11079,99.8,10993,99.02
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,45,45,100.0,33916,26250,77.39,26223,99.89,26056,99.26
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,19,19,100.0,19944,14461,72.5,14456,99.96,14320,99.02
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,5,5,100.0,4532,3435,75.79,3427,99.76,3396,98.86
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,2,2,100.0,1490,1151,77.24,1151,100.0,1142,99.21
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,15,15,100.0,13571,9974,73.49,9963,99.88,9886,99.11
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,32,32,100.0,28613,20905,73.06,20886,99.9,20729,99.15
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,30,30,100.0,27497,20897,75.99,20862,99.83,20694,99.02
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,6,6,100.0,6154,4815,78.24,4797,99.62,4735,98.33
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,5,5,100.0,5259,4355,82.81,4345,99.77,4312,99.01
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,2,2,100.0,1355,1138,83.98,1138,100.0,1128,99.12
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,2,2,100.0,2379,1935,81.33,1935,100.0,1916,99.01
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,95,95,100.0,91295,65388,71.62,64922,99.28,64489,98.62
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,4,4,100.0,3438,2658,77.31,2658,100.0,2628,98.87
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,1,1,100.0,718,586,81.61,586,100.0,581,99.14
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,2,2,100.0,2491,1669,67.0,1669,100.0,1643,98.44
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,1,1,100.0,1149,869,75.63,866,99.65,858,98.73
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,1,1,100.0,1410,1039,73.68,1039,100.0,1030,99.13
1,Bratislavský kraj,102,Malacky,106,Malacky,508012,Kostolište,2,2,100.0,1689,1323,78.33,1321,99.84,1310,99.01
1,Bratislavský kraj,102,Malacky,106,Malacky,508021,Kuchyňa,2,2,100.0,1504,1048,69.68,1047,99.9,1040,99.23
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,2,2,100.0,1640,1294,78.9,1294,100.0,1282,99.07
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,2,2,100.0,2633,1769,67.18,1769,100.0,1747,98.75
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,12,12,100.0,14658,10325,70.43,10315,99.9,10211,98.89
1,Bratislavský kraj,102,Malacky,106,Malacky,504556,Malé Leváre,1,1,100.0,1436,986,68.66,986,100.0,976,98.98
1,Bratislavský kraj,102,Malacky,106,Malacky,508080,Marianka,2,2,100.0,1711,1368,79.95,1364,99.7,1357,99.19
1,Bratislavský kraj,102,Malacky,106,Malacky,508161,Pernek,1,1,100.0,722,559,77.42,559,100.0,553,98.92
1,Bratislavský kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,1,1,100.0,630,501,79.52,499,99.6,495,98.8
1,Bratislavský kraj,102,Malacky,106,Malacky,504637,Plavecký Mikuláš,1,1,100.0,637,507,79.59,507,100.0,498,98.22
1,Bratislavský kraj,102,Malacky,106,Malacky,508195,Plavecký Štvrtok,2,2,100.0,2029,1380,68.01,1376,99.71,1355,98.18
1,Bratislavský kraj,102,Malacky,106,Malacky,504769,Rohožník,3,3,100.0,2806,1893,67.46,1893,100.0,1870,98.78
1,Bratislavský kraj,102,Malacky,106,Malacky,504858,Sološnica,1,1,100.0,1373,998,72.68,997,99.89,986,98.79
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,1,1,100.0,1458,1025,70.3,1025,100.0,1012,98.73
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,8,8,100.0,9302,7205,77.45,7196,99.87,7137,99.05
1,Bratislavský kraj,102,Malacky,106,Malacky,508241,Suchohrad,1,1,100.0,585,405,69.23,403,99.5,395,97.53
1,Bratislavský kraj,102,Malacky,106,Malacky,504947,Veľké Leváre,3,3,100.0,3022,1996,66.04,1993,99.84,1972,98.79
1,Bratislavský kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,2,2,100.0,1791,1184,66.1,1184,100.0,1169,98.73
1,Bratislavský kraj,102,Malacky,106,Malacky,500267,Záhorie (vojenský obvod),1,1,100.0,108,77,71.29,76,98.7,75,97.4
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,1,1,100.0,1489,864,58.02,864,100.0,855,98.95
1,Bratislavský kraj,102,Malacky,106,Malacky,504980,Závod,2,2,100.0,2369,1611,68.0,1609,99.87,1595,99.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508381,Zohor,3,3,100.0,2897,2071,71.48,2070,99.95,2045,98.74
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507806,Báhoň,1,1,100.0,1461,1078,73.78,1078,100.0,1075,99.72
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507849,Budmerice,2,2,100.0,1947,1476,75.8,1471,99.66,1455,98.57
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507857,Častá,2,2,100.0,1974,1485,75.22,1485,100.0,1474,99.25
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507873,Doľany,1,1,100.0,897,701,78.14,701,100.0,695,99.14
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507881,Dubová,1,1,100.0,936,732,78.2,732,100.0,724,98.9
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507946,Jablonec,1,1,100.0,813,625,76.87,625,100.0,618,98.88
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508047,Limbach,2,2,100.0,1810,1438,79.44,1438,100.0,1426,99.16
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508101,Modra,6,6,100.0,7550,5647,74.79,5638,99.84,5598,99.13
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,18,18,100.0,19386,14443,74.5,14406,99.74,14270,98.8
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508187,Píla,1,1,100.0,355,280,78.87,280,100.0,279,99.64
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508225,Slovenský Grob,5,5,100.0,4111,3340,81.24,3331,99.73,3297,98.71
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507989,Svätý Jur,5,5,100.0,4543,3559,78.34,3555,99.88,3524,99.01
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508250,Šenkvice,4,4,100.0,4101,3224,78.61,3219,99.84,3188,98.88
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508268,Štefanová,1,1,100.0,324,245,75.61,245,100.0,243,99.18
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508306,Viničné,2,2,100.0,2112,1619,76.65,1617,99.87,1597,98.64
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508314,Vinosady,1,1,100.0,1198,928,77.46,928,100.0,926,99.78
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508322,Vištuk,1,1,100.0,1115,815,73.09,814,99.87,805,98.77
