Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %",Počet získaných mandátov
1,Pirátska strana - Slovensko,9358,0.31,6597,70.49,
2,PRINCÍP,1817,0.06,1470,80.9,
3,Progresívne Slovensko,533136,17.96,394268,73.95,32.0
4,SPOLOČNE OBČANIA SLOVENSKA,2401,0.08,1485,61.84,
5,OĽANO A PRIATELIA,264137,8.89,235058,88.99,16.0
6,Komunistická strana Slovenska,9867,0.33,6588,66.76,
7,Maďarské fórum,3486,0.11,2900,83.18,
8,Vlastenecký blok,1262,0.04,1015,80.42,
9,"Modrí, Most - Híd",7935,0.26,6390,80.52,
10,SPRAVODLIVOSŤ,1335,0.04,833,62.39,
11,Slovenské Hnutie Obrody,1332,0.04,986,74.02,
12,Sloboda a Solidarita,187645,6.32,154758,82.47,11.0
13,SME RODINA,65673,2.21,55498,84.5,
14,MySlovensko,2786,0.09,1952,70.06,
15,Slovenská národná strana,166995,5.62,148634,89.0,10.0
16,SMER - sociálna demokracia,681017,22.94,581847,85.43,42.0
17,HLAS - sociálna demokracia,436415,14.7,369272,84.61,27.0
18,SZÖVETSÉG - Magyarok,130183,4.38,114047,87.6,
19,SRDCE vlastenci a dôchodcovia,2315,0.07,1464,63.23,
20,SDKU - DS,771,0.02,431,55.9,
21,Kotlebovci - Ľudová strana Naše Slovensko,25003,0.84,21766,87.05,
22,Demokrati,87006,2.93,74972,86.16,
23,Kresťanskodemokratické hnutie,202515,6.82,163118,80.54,12.0
24,KARMA,2407,0.08,1488,61.81,
25,REPUBLIKA,141099,4.75,123945,87.84,
