Kód kraja,Názov kraja,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
1,Bratislavský kraj,1,Pirátska strana - Slovensko,1152,0.27,727,63.1
1,Bratislavský kraj,2,PRINCÍP,118,0.02,81,68.64
1,Bratislavský kraj,3,Progresívne Slovensko,130315,31.0,98859,75.86
1,Bratislavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,254,0.06,131,51.57
1,Bratislavský kraj,5,OĽANO A PRIATELIA,25930,6.17,22125,85.32
1,Bratislavský kraj,6,Komunistická strana Slovenska,859,0.2,533,62.04
1,Bratislavský kraj,7,Maďarské fórum,328,0.07,281,85.67
1,Bratislavský kraj,8,Vlastenecký blok,135,0.03,94,69.62
1,Bratislavský kraj,9,"Modrí, Most - Híd",1255,0.29,980,78.08
1,Bratislavský kraj,10,SPRAVODLIVOSŤ,202,0.04,126,62.37
1,Bratislavský kraj,11,Slovenské Hnutie Obrody,138,0.03,87,63.04
1,Bratislavský kraj,12,Sloboda a Solidarita,52568,12.5,43506,82.76
1,Bratislavský kraj,13,SME RODINA,7496,1.78,6071,80.98
1,Bratislavský kraj,14,MySlovensko,436,0.1,300,68.8
1,Bratislavský kraj,15,Slovenská národná strana,18131,4.31,15968,88.07
1,Bratislavský kraj,16,SMER - sociálna demokracia,77921,18.54,64316,82.54
1,Bratislavský kraj,17,HLAS - sociálna demokracia,43542,10.36,35215,80.87
1,Bratislavský kraj,18,SZÖVETSÉG - Magyarok,3832,0.91,3127,81.6
1,Bratislavský kraj,19,SRDCE vlastenci a dôchodcovia,300,0.07,178,59.33
1,Bratislavský kraj,20,SDKU - DS,85,0.02,43,50.58
1,Bratislavský kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,2414,0.57,2099,86.95
1,Bratislavský kraj,22,Demokrati,18658,4.43,16229,86.98
1,Bratislavský kraj,23,Kresťanskodemokratické hnutie,20599,4.9,15830,76.84
1,Bratislavský kraj,24,KARMA,347,0.08,198,57.06
1,Bratislavský kraj,25,REPUBLIKA,13237,3.14,11193,84.55
2,Trnavský kraj,1,Pirátska strana - Slovensko,874,0.28,583,66.7
2,Trnavský kraj,2,PRINCÍP,98,0.03,73,74.48
2,Trnavský kraj,3,Progresívne Slovensko,52919,17.07,38155,72.1
2,Trnavský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,258,0.08,144,55.81
2,Trnavský kraj,5,OĽANO A PRIATELIA,29136,9.4,24792,85.09
2,Trnavský kraj,6,Komunistická strana Slovenska,1244,0.4,817,65.67
2,Trnavský kraj,7,Maďarské fórum,781,0.25,662,84.76
2,Trnavský kraj,8,Vlastenecký blok,207,0.06,172,83.09
2,Trnavský kraj,9,"Modrí, Most - Híd",1609,0.51,1321,82.1
2,Trnavský kraj,10,SPRAVODLIVOSŤ,122,0.03,83,68.03
2,Trnavský kraj,11,Slovenské Hnutie Obrody,130,0.04,95,73.07
2,Trnavský kraj,12,Sloboda a Solidarita,16621,5.36,13361,80.38
2,Trnavský kraj,13,SME RODINA,6813,2.19,5600,82.19
2,Trnavský kraj,14,MySlovensko,318,0.1,228,71.69
2,Trnavský kraj,15,Slovenská národná strana,13755,4.43,11941,86.81
2,Trnavský kraj,16,SMER - sociálna demokracia,68239,22.01,56522,82.82
2,Trnavský kraj,17,HLAS - sociálna demokracia,37548,12.11,30466,81.13
2,Trnavský kraj,18,SZÖVETSÉG - Magyarok,39350,12.69,34250,87.03
2,Trnavský kraj,19,SRDCE vlastenci a dôchodcovia,188,0.06,111,59.04
2,Trnavský kraj,20,SDKU - DS,87,0.02,36,41.37
2,Trnavský kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,2519,0.81,2107,83.64
2,Trnavský kraj,22,Demokrati,9065,2.92,7569,83.49
2,Trnavský kraj,23,Kresťanskodemokratické hnutie,14155,4.56,10253,72.43
2,Trnavský kraj,24,KARMA,328,0.1,233,71.03
2,Trnavský kraj,25,REPUBLIKA,13585,4.38,11568,85.15
3,Trenčiansky kraj,1,Pirátska strana - Slovensko,996,0.29,664,66.66
3,Trenčiansky kraj,2,PRINCÍP,108,0.03,73,67.59
3,Trenčiansky kraj,3,Progresívne Slovensko,55684,16.63,40884,73.42
3,Trenčiansky kraj,4,SPOLOČNE OBČANIA SLOVENSKA,260,0.07,154,59.23
3,Trenčiansky kraj,5,OĽANO A PRIATELIA,19869,5.93,17121,86.16
3,Trenčiansky kraj,6,Komunistická strana Slovenska,1543,0.46,1007,65.26
3,Trenčiansky kraj,7,Maďarské fórum,100,0.02,71,71.0
3,Trenčiansky kraj,8,Vlastenecký blok,210,0.06,180,85.71
3,Trenčiansky kraj,9,"Modrí, Most - Híd",463,0.13,362,78.18
3,Trenčiansky kraj,10,SPRAVODLIVOSŤ,193,0.05,117,60.62
3,Trenčiansky kraj,11,Slovenské Hnutie Obrody,181,0.05,145,80.11
3,Trenčiansky kraj,12,Sloboda a Solidarita,18878,5.63,15385,81.49
3,Trenčiansky kraj,13,SME RODINA,7460,2.22,6137,82.26
3,Trenčiansky kraj,14,MySlovensko,389,0.11,266,68.38
3,Trenčiansky kraj,15,Slovenská národná strana,24377,7.28,21211,87.01
3,Trenčiansky kraj,16,SMER - sociálna demokracia,98664,29.47,83356,84.48
3,Trenčiansky kraj,17,HLAS - sociálna demokracia,54928,16.4,45185,82.26
3,Trenčiansky kraj,18,SZÖVETSÉG - Magyarok,104,0.03,76,73.07
3,Trenčiansky kraj,19,SRDCE vlastenci a dôchodcovia,255,0.07,114,44.7
3,Trenčiansky kraj,20,SDKU - DS,88,0.02,48,54.54
3,Trenčiansky kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,3561,1.06,3054,85.76
3,Trenčiansky kraj,22,Demokrati,9509,2.84,8092,85.09
3,Trenčiansky kraj,23,Kresťanskodemokratické hnutie,18238,5.44,13458,73.79
3,Trenčiansky kraj,24,KARMA,449,0.13,301,67.03
3,Trenčiansky kraj,25,REPUBLIKA,18271,5.45,15869,86.85
4,Nitriansky kraj,1,Pirátska strana - Slovensko,1060,0.29,773,72.92
4,Nitriansky kraj,2,PRINCÍP,130,0.03,106,81.53
4,Nitriansky kraj,3,Progresívne Slovensko,51813,14.42,37835,73.02
4,Nitriansky kraj,4,SPOLOČNE OBČANIA SLOVENSKA,231,0.06,128,55.41
4,Nitriansky kraj,5,OĽANO A PRIATELIA,26850,7.47,23318,86.84
4,Nitriansky kraj,6,Komunistická strana Slovenska,968,0.26,638,65.9
4,Nitriansky kraj,7,Maďarské fórum,753,0.2,596,79.15
4,Nitriansky kraj,8,Vlastenecký blok,109,0.03,84,77.06
4,Nitriansky kraj,9,"Modrí, Most - Híd",1253,0.34,957,76.37
4,Nitriansky kraj,10,SPRAVODLIVOSŤ,143,0.03,96,67.13
4,Nitriansky kraj,11,Slovenské Hnutie Obrody,185,0.05,135,72.97
4,Nitriansky kraj,12,Sloboda a Solidarita,17261,4.8,14038,81.32
4,Nitriansky kraj,13,SME RODINA,7224,2.01,6110,84.57
4,Nitriansky kraj,14,MySlovensko,308,0.08,225,73.05
4,Nitriansky kraj,15,Slovenská národná strana,16235,4.51,14286,87.99
4,Nitriansky kraj,16,SMER - sociálna demokracia,90920,25.31,77506,85.24
4,Nitriansky kraj,17,HLAS - sociálna demokracia,51753,14.4,43459,83.97
4,Nitriansky kraj,18,SZÖVETSÉG - Magyarok,49987,13.91,42625,85.27
4,Nitriansky kraj,19,SRDCE vlastenci a dôchodcovia,296,0.08,188,63.51
4,Nitriansky kraj,20,SDKU - DS,67,0.01,34,50.74
4,Nitriansky kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,2894,0.8,2496,86.24
4,Nitriansky kraj,22,Demokrati,7869,2.19,6718,85.37
4,Nitriansky kraj,23,Kresťanskodemokratické hnutie,14607,4.06,10994,75.26
4,Nitriansky kraj,24,KARMA,258,0.07,147,56.97
4,Nitriansky kraj,25,REPUBLIKA,16042,4.46,14016,87.37
5,Žilinský kraj,1,Pirátska strana - Slovensko,1038,0.26,661,63.68
5,Žilinský kraj,2,PRINCÍP,149,0.03,115,77.18
5,Žilinský kraj,3,Progresívne Slovensko,61652,15.51,46840,75.97
5,Žilinský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,464,0.11,329,70.9
5,Žilinský kraj,5,OĽANO A PRIATELIA,27438,6.9,24584,89.59
5,Žilinský kraj,6,Komunistická strana Slovenska,1364,0.34,892,65.39
5,Žilinský kraj,7,Maďarské fórum,100,0.02,77,77.0
5,Žilinský kraj,8,Vlastenecký blok,209,0.05,184,88.03
5,Žilinský kraj,9,"Modrí, Most - Híd",317,0.07,246,77.6
5,Žilinský kraj,10,SPRAVODLIVOSŤ,175,0.04,92,52.57
5,Žilinský kraj,11,Slovenské Hnutie Obrody,160,0.04,119,74.37
5,Žilinský kraj,12,Sloboda a Solidarita,22130,5.56,18401,83.14
5,Žilinský kraj,13,SME RODINA,8032,2.02,6724,83.71
5,Žilinský kraj,14,MySlovensko,335,0.08,234,69.85
5,Žilinský kraj,15,Slovenská národná strana,32250,8.11,28922,89.68
5,Žilinský kraj,16,SMER - sociálna demokracia,102512,25.79,88930,86.75
5,Žilinský kraj,17,HLAS - sociálna demokracia,63776,16.04,54620,85.64
5,Žilinský kraj,18,SZÖVETSÉG - Magyarok,113,0.02,83,73.45
5,Žilinský kraj,19,SRDCE vlastenci a dôchodcovia,279,0.07,173,62.0
5,Žilinský kraj,20,SDKU - DS,127,0.03,76,59.84
5,Žilinský kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,3826,0.96,3378,88.29
5,Žilinský kraj,22,Demokrati,11139,2.8,9650,86.63
5,Žilinský kraj,23,Kresťanskodemokratické hnutie,37303,9.38,31525,84.51
5,Žilinský kraj,24,KARMA,283,0.07,163,57.59
5,Žilinský kraj,25,REPUBLIKA,22301,5.61,19727,88.45
6,Banskobystrický kraj,1,Pirátska strana - Slovensko,1479,0.46,1109,74.98
6,Banskobystrický kraj,2,PRINCÍP,246,0.07,205,83.33
6,Banskobystrický kraj,3,Progresívne Slovensko,47532,14.96,35042,73.72
6,Banskobystrický kraj,4,SPOLOČNE OBČANIA SLOVENSKA,298,0.09,177,59.39
6,Banskobystrický kraj,5,OĽANO A PRIATELIA,23533,7.41,20512,87.16
6,Banskobystrický kraj,6,Komunistická strana Slovenska,1375,0.43,864,62.83
6,Banskobystrický kraj,7,Maďarské fórum,651,0.2,566,86.94
6,Banskobystrický kraj,8,Vlastenecký blok,128,0.04,105,82.03
6,Banskobystrický kraj,9,"Modrí, Most - Híd",1142,0.35,955,83.62
6,Banskobystrický kraj,10,SPRAVODLIVOSŤ,146,0.04,101,69.17
6,Banskobystrický kraj,11,Slovenské Hnutie Obrody,165,0.05,125,75.75
6,Banskobystrický kraj,12,Sloboda a Solidarita,16333,5.14,13230,81.0
6,Banskobystrický kraj,13,SME RODINA,8678,2.73,7381,85.05
6,Banskobystrický kraj,14,MySlovensko,352,0.11,237,67.32
6,Banskobystrický kraj,15,Slovenská národná strana,20768,6.53,18580,89.46
6,Banskobystrický kraj,16,SMER - sociálna demokracia,72692,22.89,61850,85.08
6,Banskobystrický kraj,17,HLAS - sociálna demokracia,62776,19.76,53113,84.6
6,Banskobystrický kraj,18,SZÖVETSÉG - Magyarok,16444,5.17,15066,91.62
6,Banskobystrický kraj,19,SRDCE vlastenci a dôchodcovia,559,0.17,426,76.2
6,Banskobystrický kraj,20,SDKU - DS,84,0.02,51,60.71
6,Banskobystrický kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,4228,1.33,3688,87.22
6,Banskobystrický kraj,22,Demokrati,7625,2.4,6531,85.65
6,Banskobystrický kraj,23,Kresťanskodemokratické hnutie,13631,4.29,10256,75.24
6,Banskobystrický kraj,24,KARMA,231,0.07,130,56.27
6,Banskobystrický kraj,25,REPUBLIKA,16463,5.18,14585,88.59
7,Prešovský kraj,1,Pirátska strana - Slovensko,1197,0.29,896,74.85
7,Prešovský kraj,2,PRINCÍP,477,0.11,396,83.01
7,Prešovský kraj,3,Progresívne Slovensko,44128,10.83,34844,78.96
7,Prešovský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,340,0.08,231,67.94
7,Prešovský kraj,5,OĽANO A PRIATELIA,60195,14.78,55784,92.67
