Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,1,Pirátska strana - Slovensko,49,0.17,30,61.22
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,2,PRINCÍP,11,0.03,8,72.72
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,3,Progresívne Slovensko,11804,41.59,9545,80.86
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,4,SPOLOČNE OBČANIA SLOVENSKA,6,0.02,4,66.66
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,5,OĽANO A PRIATELIA,1172,4.12,1069,91.21
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,6,Komunistická strana Slovenska,23,0.08,13,56.52
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,7,Maďarské fórum,22,0.07,21,95.45
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,8,Vlastenecký blok,1,0.0,1,100.0
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,9,"Modrí, Most - Híd",107,0.37,84,78.5
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,10,SPRAVODLIVOSŤ,14,0.04,10,71.42
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,11,Slovenské Hnutie Obrody,5,0.01,4,80.0
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,12,Sloboda a Solidarita,4297,15.14,3725,86.68
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,13,SME RODINA,306,1.07,259,84.64
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,14,MySlovensko,16,0.05,13,81.25
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,15,Slovenská národná strana,877,3.09,777,88.59
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,16,SMER - sociálna demokracia,4184,14.74,3405,81.38
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,17,HLAS - sociálna demokracia,1913,6.74,1580,82.59
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,18,SZÖVETSÉG - Magyarok,147,0.51,126,85.71
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,19,SRDCE vlastenci a dôchodcovia,12,0.04,4,33.33
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,20,SDKU - DS,3,0.01,2,66.66
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,21,Kotlebovci - Ľudová strana Naše Slovensko,99,0.34,79,79.79
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,22,Demokrati,1261,4.44,1124,89.13
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,23,Kresťanskodemokratické hnutie,1548,5.45,1259,81.33
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,24,KARMA,10,0.03,7,70.0
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,25,REPUBLIKA,494,1.74,416,84.21
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,1,Pirátska strana - Slovensko,190,0.26,123,64.73
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,2,PRINCÍP,17,0.02,12,70.58
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,3,Progresívne Slovensko,24510,33.78,19017,77.58
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,4,SPOLOČNE OBČANIA SLOVENSKA,41,0.05,26,63.41
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,5,OĽANO A PRIATELIA,4152,5.72,3623,87.25
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,6,Komunistická strana Slovenska,94,0.12,52,55.31
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,7,Maďarské fórum,72,0.09,56,77.77
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,8,Vlastenecký blok,14,0.01,10,71.42
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,9,"Modrí, Most - Híd",286,0.39,230,80.41
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,10,SPRAVODLIVOSŤ,45,0.06,33,73.33
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,11,Slovenské Hnutie Obrody,14,0.01,7,50.0
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,12,Sloboda a Solidarita,10111,13.93,8329,82.37
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,13,SME RODINA,1030,1.41,820,79.61
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,14,MySlovensko,55,0.07,37,67.27
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,15,Slovenská národná strana,2832,3.9,2512,88.7
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,16,SMER - sociálna demokracia,12901,17.78,10726,83.14
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,17,HLAS - sociálna demokracia,6770,9.33,5530,81.68
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,18,SZÖVETSÉG - Magyarok,619,0.85,490,79.15
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,19,SRDCE vlastenci a dôchodcovia,49,0.06,27,55.1
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,20,SDKU - DS,18,0.02,12,66.66
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,21,Kotlebovci - Ľudová strana Naše Slovensko,320,0.44,282,88.12
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,22,Demokrati,3056,4.21,2676,87.56
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,23,Kresťanskodemokratické hnutie,3359,4.63,2646,78.77
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,24,KARMA,46,0.06,30,65.21
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,25,REPUBLIKA,1943,2.67,1663,85.58
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,1,Pirátska strana - Slovensko,81,0.18,61,75.3
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,2,PRINCÍP,16,0.03,13,81.25
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,3,Progresívne Slovensko,15466,35.33,12001,77.59
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,4,SPOLOČNE OBČANIA SLOVENSKA,26,0.05,11,42.3
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,5,OĽANO A PRIATELIA,2189,5.0,1932,88.25
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,6,Komunistická strana Slovenska,67,0.15,36,53.73
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,7,Maďarské fórum,22,0.05,20,90.9
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,8,Vlastenecký blok,8,0.01,4,50.0
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,9,"Modrí, Most - Híd",137,0.31,113,82.48
