Číslo politického subjektu,Názov politického subjektu,Poradie po zohľadnení prednostného hlasovania,Poradie na hlasovacom lístku,Meno,Priezvisko,Počet platných prednostných hlasov,Podiel platných prednostných hlasov v %,Poznámka
1,Pirátska strana - Slovensko,,1,Zuzana,Šubová,2462,,
1,Pirátska strana - Slovensko,,2,Michal,Pírek,1082,,
1,Pirátska strana - Slovensko,,3,Dajana,Maxian Rosová,929,,
1,Pirátska strana - Slovensko,,4,Ján,Berceli,710,,
1,Pirátska strana - Slovensko,,5,Dagmar,Kačíreková,656,,
1,Pirátska strana - Slovensko,,6,Veronika,Kvetáková,464,,
1,Pirátska strana - Slovensko,,7,Drahomír,Širůčka,480,,
1,Pirátska strana - Slovensko,,8,Lenka,Hamšíková,634,,
1,Pirátska strana - Slovensko,,9,Juraj,Krátky,445,,
1,Pirátska strana - Slovensko,,10,Martin,Eštočák,596,,
1,Pirátska strana - Slovensko,,11,Peter,Uličný,346,,
1,Pirátska strana - Slovensko,,12,Dana,Miri,393,,
1,Pirátska strana - Slovensko,,13,Iveta,Klačanská,383,,
1,Pirátska strana - Slovensko,,14,Jaroslav,Nosaľ,256,,
1,Pirátska strana - Slovensko,,15,Norbert,Astaloš,360,,
1,Pirátska strana - Slovensko,,16,Karolína,Ivanová,451,,
1,Pirátska strana - Slovensko,,17,Alexander,Máteffy,345,,
1,Pirátska strana - Slovensko,,18,Benjamín,Schlesinger,756,,
1,Pirátska strana - Slovensko,,19,Milena,Moravcová,220,,
1,Pirátska strana - Slovensko,,20,Branislava,Pírková,237,,
1,Pirátska strana - Slovensko,,21,Sandra,Morgošová,300,,
1,Pirátska strana - Slovensko,,22,Katarína,Ringelband,152,,
1,Pirátska strana - Slovensko,,23,Ľubica,Peerová,169,,
1,Pirátska strana - Slovensko,,24,Martin,Kresák,190,,
1,Pirátska strana - Slovensko,,25,Rastislav,Dubovský,111,,
1,Pirátska strana - Slovensko,,26,Slavka,Švantnerová,153,,
1,Pirátska strana - Slovensko,,27,Lucia,Appelová,298,,
1,Pirátska strana - Slovensko,,28,Filip,Kulich,207,,
1,Pirátska strana - Slovensko,,29,Beáta,Drdáková,135,,
1,Pirátska strana - Slovensko,,30,Rudolf,Molnár,219,,
1,Pirátska strana - Slovensko,,31,Natália,Ivasiuková,144,,
1,Pirátska strana - Slovensko,,32,Sylvia,Bolechová,99,,
1,Pirátska strana - Slovensko,,33,Eva,Uričová,87,,
1,Pirátska strana - Slovensko,,34,Zdeno,Belanský,161,,
1,Pirátska strana - Slovensko,,35,Stanislav,Bednár,98,,
1,Pirátska strana - Slovensko,,36,Slavomíra,Krátka,173,,
1,Pirátska strana - Slovensko,,37,Juraj,Bittmann,218,,
1,Pirátska strana - Slovensko,,38,Juraj,Rác,56,,
1,Pirátska strana - Slovensko,,39,Veronika,Ovádeková,73,,
1,Pirátska strana - Slovensko,,40,Peter,Pavol,216,,
1,Pirátska strana - Slovensko,,41,Pavol,Drdák,141,,
1,Pirátska strana - Slovensko,,42,Patrik,Novotný,99,,
1,Pirátska strana - Slovensko,,43,Jarmila,Miškusová,61,,
1,Pirátska strana - Slovensko,,44,Ondrej,Forgáč,153,,
1,Pirátska strana - Slovensko,,45,Renáta,Gábrišová,53,,
1,Pirátska strana - Slovensko,,46,Tomáš,Bodó,73,,
1,Pirátska strana - Slovensko,,47,Július,Vrábeľ,101,,
1,Pirátska strana - Slovensko,,48,Daniel,Mego,78,,
1,Pirátska strana - Slovensko,,49,Stanislav,Repčák,68,,
1,Pirátska strana - Slovensko,,50,Štefan,Wimmer,79,,
1,Pirátska strana - Slovensko,,51,Milan,Hrabko,129,,
1,Pirátska strana - Slovensko,,52,Iveta,Rusznyáková,92,,
1,Pirátska strana - Slovensko,,53,Marek,Kvak,111,,
1,Pirátska strana - Slovensko,,54,Vladimír,Kaplin,155,,
1,Pirátska strana - Slovensko,,55,Anna,Brezániová,94,,
1,Pirátska strana - Slovensko,,56,Erik,Lackovič,153,,
1,Pirátska strana - Slovensko,,57,Jozef,Brezovský,100,,
1,Pirátska strana - Slovensko,,58,Ľuboš,Noga,177,,
1,Pirátska strana - Slovensko,,59,Pavol,Zedník,100,,
1,Pirátska strana - Slovensko,,60,Anton,Pižurný,219,,
2,PRINCÍP,,1,Atila,Géňa,211,,X
2,PRINCÍP,,2,Alfonz,Kaliaš,221,,
2,PRINCÍP,,3,Mikuláš,Vareha,520,,
2,PRINCÍP,,4,Marián,Geci,152,,
2,PRINCÍP,,5,Katarína,Marcišová,117,,
2,PRINCÍP,,6,Helena,Laliková,97,,
2,PRINCÍP,,7,Jozef,Petráš,82,,
2,PRINCÍP,,8,Atila,Oláh,109,,
2,PRINCÍP,,9,Nikoleta,Balogová,77,,
2,PRINCÍP,,10,Jozef,Petráš,93,,
2,PRINCÍP,,11,Michal,Fízik,44,,
2,PRINCÍP,,12,František,Koscs,56,,
2,PRINCÍP,,13,Patrik,Timčík,39,,
2,PRINCÍP,,14,Alfonz,Kaliaš,113,,
2,PRINCÍP,,15,Ivan,Kovanda,47,,
2,PRINCÍP,,16,Marián,Veselský,67,,
2,PRINCÍP,,17,Peter,Červeňák,69,,
2,PRINCÍP,,18,Rudolf,Felšöci,112,,
2,PRINCÍP,,19,Radovan,Levický,56,,
2,PRINCÍP,,20,Martin,Makula,33,,
2,PRINCÍP,,21,Jana,Haňaková,70,,
2,PRINCÍP,,22,Róbert,Fráter,58,,
