Kód kraja,Názov kraja,Číslo politického subjektu,Názov politického subjektu,Poradie na hlasovacom lístku,Meno,Priezvisko,Počet platných prednostných hlasov,Poznámka
1,Bratislavský kraj,1,Pirátska strana - Slovensko,1,Zuzana,Šubová,400,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,2,Michal,Pírek,167,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,3,Dajana,Maxian Rosová,163,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,4,Ján,Berceli,76,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,5,Dagmar,Kačíreková,46,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,6,Veronika,Kvetáková,86,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,7,Drahomír,Širůčka,32,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,8,Lenka,Hamšíková,90,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,9,Juraj,Krátky,32,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,10,Martin,Eštočák,36,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,11,Peter,Uličný,66,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,12,Dana,Miri,40,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,13,Iveta,Klačanská,43,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,14,Jaroslav,Nosaľ,28,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,15,Norbert,Astaloš,20,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,16,Karolína,Ivanová,45,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,17,Alexander,Máteffy,26,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,18,Benjamín,Schlesinger,32,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,19,Milena,Moravcová,32,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,20,Branislava,Pírková,36,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,21,Sandra,Morgošová,37,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,22,Katarína,Ringelband,28,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,23,Ľubica,Peerová,28,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,24,Martin,Kresák,16,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,25,Rastislav,Dubovský,10,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,26,Slavka,Švantnerová,10,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,27,Lucia,Appelová,39,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,28,Filip,Kulich,24,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,29,Beáta,Drdáková,22,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,30,Rudolf,Molnár,43,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,31,Natália,Ivasiuková,10,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,32,Sylvia,Bolechová,6,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,33,Eva,Uričová,9,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,34,Zdeno,Belanský,32,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,35,Stanislav,Bednár,5,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,36,Slavomíra,Krátka,14,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,37,Juraj,Bittmann,18,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,38,Juraj,Rác,16,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,39,Veronika,Ovádeková,10,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,40,Peter,Pavol,10,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,41,Pavol,Drdák,15,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,42,Patrik,Novotný,16,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,43,Jarmila,Miškusová,3,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,44,Ondrej,Forgáč,12,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,45,Renáta,Gábrišová,4,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,46,Tomáš,Bodó,12,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,47,Július,Vrábeľ,5,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,48,Daniel,Mego,15,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,49,Stanislav,Repčák,9,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,50,Štefan,Wimmer,12,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,51,Milan,Hrabko,9,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,52,Iveta,Rusznyáková,9,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,53,Marek,Kvak,18,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,54,Vladimír,Kaplin,20,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,55,Anna,Brezániová,5,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,56,Erik,Lackovič,27,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,57,Jozef,Brezovský,22,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,58,Ľuboš,Noga,21,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,59,Pavol,Zedník,26,
1,Bratislavský kraj,1,Pirátska strana - Slovensko,60,Anton,Pižurný,42,
1,Bratislavský kraj,2,PRINCÍP,1,Atila,Géňa,19,X
1,Bratislavský kraj,2,PRINCÍP,2,Alfonz,Kaliaš,13,
1,Bratislavský kraj,2,PRINCÍP,3,Mikuláš,Vareha,47,
1,Bratislavský kraj,2,PRINCÍP,4,Marián,Geci,15,
1,Bratislavský kraj,2,PRINCÍP,5,Katarína,Marcišová,6,
1,Bratislavský kraj,2,PRINCÍP,6,Helena,Laliková,2,
1,Bratislavský kraj,2,PRINCÍP,7,Jozef,Petráš,4,
1,Bratislavský kraj,2,PRINCÍP,8,Atila,Oláh,2,
1,Bratislavský kraj,2,PRINCÍP,9,Nikoleta,Balogová,2,
1,Bratislavský kraj,2,PRINCÍP,10,Jozef,Petráš,3,
1,Bratislavský kraj,2,PRINCÍP,11,Michal,Fízik,3,
1,Bratislavský kraj,2,PRINCÍP,12,František,Koscs,3,
1,Bratislavský kraj,2,PRINCÍP,13,Patrik,Timčík,1,
1,Bratislavský kraj,2,PRINCÍP,14,Alfonz,Kaliaš,7,
1,Bratislavský kraj,2,PRINCÍP,15,Ivan,Kovanda,1,
1,Bratislavský kraj,2,PRINCÍP,16,Marián,Veselský,3,
1,Bratislavský kraj,2,PRINCÍP,17,Peter,Červeňák,1,
1,Bratislavský kraj,2,PRINCÍP,18,Rudolf,Felšöci,4,
1,Bratislavský kraj,2,PRINCÍP,19,Radovan,Levický,3,
1,Bratislavský kraj,2,PRINCÍP,20,Martin,Makula,1,
1,Bratislavský kraj,2,PRINCÍP,21,Jana,Haňaková,3,
1,Bratislavský kraj,2,PRINCÍP,22,Róbert,Fráter,4,
1,Bratislavský kraj,2,PRINCÍP,23,Laura,Ninčáková,3,
1,Bratislavský kraj,2,PRINCÍP,24,Viktor,Polhoš,2,
1,Bratislavský kraj,2,PRINCÍP,25,Viera,Handi,3,
1,Bratislavský kraj,2,PRINCÍP,26,Martin,Juhas,1,
1,Bratislavský kraj,2,PRINCÍP,27,Karel,Váradi,4,X
1,Bratislavský kraj,2,PRINCÍP,28,Michal,Micaj,2,
1,Bratislavský kraj,2,PRINCÍP,29,Silvia,Danková,2,
1,Bratislavský kraj,2,PRINCÍP,30,Ladislav,Varecha,1,
1,Bratislavský kraj,2,PRINCÍP,31,Ľubomír,Havrilec,0,
1,Bratislavský kraj,2,PRINCÍP,32,Jozef,Petraš,1,
1,Bratislavský kraj,2,PRINCÍP,33,Monika,Davidová,1,
1,Bratislavský kraj,2,PRINCÍP,34,Ľubomír,Korchan,1,
1,Bratislavský kraj,2,PRINCÍP,35,Lukáš,Tomaško,3,
1,Bratislavský kraj,2,PRINCÍP,36,Ján,Tancoš,2,
1,Bratislavský kraj,2,PRINCÍP,37,Štefan,Hozza,3,
1,Bratislavský kraj,2,PRINCÍP,38,Jaroslava,Marinaková,4,
1,Bratislavský kraj,2,PRINCÍP,39,Patrik,Adam,1,
1,Bratislavský kraj,2,PRINCÍP,40,Miroslav,Juhász,2,
1,Bratislavský kraj,2,PRINCÍP,41,Marek,Sedlák,1,
1,Bratislavský kraj,2,PRINCÍP,42,Jozef,Červeňák,2,
1,Bratislavský kraj,2,PRINCÍP,43,Ľubomír,Žolna,1,
1,Bratislavský kraj,2,PRINCÍP,44,Jaroslava,Basová,2,
1,Bratislavský kraj,2,PRINCÍP,45,Zdeno,Pompa,1,
1,Bratislavský kraj,2,PRINCÍP,46,Viktor,Gaško,0,
1,Bratislavský kraj,2,PRINCÍP,47,Ján,Šmajda,2,
1,Bratislavský kraj,2,PRINCÍP,48,Peter,Horváth,2,
1,Bratislavský kraj,2,PRINCÍP,49,Rudolf,Motýl,3,
1,Bratislavský kraj,2,PRINCÍP,50,Vanesa,Gregová,3,
1,Bratislavský kraj,2,PRINCÍP,51,Rudolf,Mačo,1,
1,Bratislavský kraj,2,PRINCÍP,52,Peter,Pavlinský,0,
1,Bratislavský kraj,2,PRINCÍP,53,Marián,Kapa,1,
1,Bratislavský kraj,2,PRINCÍP,54,Daniel,Balog,2,
1,Bratislavský kraj,2,PRINCÍP,55,Alexej,Hanko,2,
1,Bratislavský kraj,2,PRINCÍP,56,Zdena,Vencelová,3,
1,Bratislavský kraj,2,PRINCÍP,57,Stanislav,Feko,1,
1,Bratislavský kraj,2,PRINCÍP,58,Ján,Dudáš,4,
1,Bratislavský kraj,2,PRINCÍP,59,Andrea,Irdzová,0,
1,Bratislavský kraj,2,PRINCÍP,60,Andrej,Danečko,1,
1,Bratislavský kraj,2,PRINCÍP,61,Martina,Fedor Bučková,2,X
1,Bratislavský kraj,2,PRINCÍP,62,Patrik,Kollár,1,
1,Bratislavský kraj,2,PRINCÍP,63,Diana,Schützová,1,X
1,Bratislavský kraj,2,PRINCÍP,64,Gabriel,Pajunk,3,X
1,Bratislavský kraj,2,PRINCÍP,65,Paulína,Kollárová,1,
1,Bratislavský kraj,2,PRINCÍP,66,Eva,Ninčáková,1,
1,Bratislavský kraj,2,PRINCÍP,67,Alena,Kundratová,2,
1,Bratislavský kraj,2,PRINCÍP,68,Andrej,Kaputa,2,
1,Bratislavský kraj,2,PRINCÍP,69,Jozef,Leľo,3,
1,Bratislavský kraj,2,PRINCÍP,70,Miroslava,Jancurová,3,
1,Bratislavský kraj,3,Progresívne Slovensko,1,Michal,Šimečka,73425,
1,Bratislavský kraj,3,Progresívne Slovensko,2,Lucia,Plaváková,27167,
1,Bratislavský kraj,3,Progresívne Slovensko,3,Michal,Truban,28370,
1,Bratislavský kraj,3,Progresívne Slovensko,4,Tamara,Stohlová,15820,
1,Bratislavský kraj,3,Progresívne Slovensko,5,Tomáš,Valášek,19271,
1,Bratislavský kraj,3,Progresívne Slovensko,6,Zora,Jaurová,9349,
1,Bratislavský kraj,3,Progresívne Slovensko,7,Ivan,Štefunko,4690,
1,Bratislavský kraj,3,Progresívne Slovensko,8,Simona,Petrík,6796,
1,Bratislavský kraj,3,Progresívne Slovensko,9,Michal,Wiezik,7054,
1,Bratislavský kraj,3,Progresívne Slovensko,10,Irena,Bihariová,11497,
1,Bratislavský kraj,3,Progresívne Slovensko,11,Štefan,Kišš,6889,
1,Bratislavský kraj,3,Progresívne Slovensko,12,Ingrid,Kosová,5526,
1,Bratislavský kraj,3,Progresívne Slovensko,13,Oskar,Dvořák,8049,
1,Bratislavský kraj,3,Progresívne Slovensko,14,Beáta,Jurík,2279,
1,Bratislavský kraj,3,Progresívne Slovensko,15,Jaroslav,Spišiak,21542,
1,Bratislavský kraj,3,Progresívne Slovensko,16,Jana,Hanuliaková,1234,
1,Bratislavský kraj,3,Progresívne Slovensko,17,Michal,Sabo,10028,
