Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
1,Bratislavský kraj,101,Bratislava,276356,710,0.25,74,0.02,93835,33.95,142,0.05,14834,5.36,413,0.14,196,0.07,65.0,0.02,930,0.33,124,0.04,63,0.02,38091,13.78,4131,1.49,254,0.09,11337,4.1,48341,17.49,25893,9.36,1462,0.52,199,0.07,51.0,0.01,1412,0.51,12684,4.58,13553,4.9,210,0.07,7352,2.66
1,Bratislavský kraj,102,Malacky,44047,175,0.39,10,0.02,9540,21.65,41,0.09,3690,8.37,145,0.32,15,0.03,17.0,0.03,60,0.13,25,0.05,19,0.04,3698,8.39,1223,2.77,79,0.17,2091,4.74,10552,23.95,6267,14.22,26,0.05,27,0.06,16.0,0.03,418,0.94,1645,3.73,1961,4.45,46,0.1,2261,5.13
1,Bratislavský kraj,103,Pezinok,41194,122,0.29,14,0.03,10763,26.12,39,0.09,2876,6.98,188,0.45,17,0.04,32.0,0.07,67,0.16,37,0.08,21,0.05,3943,9.57,821,1.99,45,0.1,2283,5.54,8797,21.35,5097,12.37,21,0.05,45,0.1,9.0,0.02,288,0.69,1760,4.27,2198,5.33,55,0.13,1656,4.02
1,Bratislavský kraj,104,Senec,58655,145,0.24,20,0.03,16177,27.57,32,0.05,4530,7.72,113,0.19,100,0.17,21.0,0.03,198,0.33,16,0.02,35,0.05,6836,11.65,1321,2.25,58,0.09,2420,4.12,10231,17.44,6285,10.71,2323,3.96,29,0.04,9.0,0.01,296,0.5,2569,4.37,2887,4.92,36,0.06,1968,3.35
2,Trnavský kraj,201,Dunajská Streda,62365,178,0.28,16,0.02,8261,13.24,33,0.05,4756,7.62,65,0.1,557,0.89,25.0,0.04,1119,1.79,13,0.02,7,0.01,2041,3.27,874,1.4,15,0.02,846,1.35,8282,13.27,3689,5.91,28921,46.37,24,0.03,10.0,0.01,170,0.27,743,1.19,674,1.08,17,0.02,1029,1.64
2,Trnavský kraj,202,Galanta,50733,162,0.31,26,0.05,7126,14.04,56,0.11,5225,10.29,215,0.42,152,0.29,12.0,0.02,291,0.57,23,0.04,18,0.03,2439,4.8,1165,2.29,51,0.1,1923,3.79,10647,20.98,5823,11.47,10331,20.36,30,0.05,12.0,0.02,393,0.77,1110,2.18,1408,2.77,46,0.09,2049,4.03
2,Trnavský kraj,203,Piešťany,36200,87,0.24,9,0.02,7417,20.48,41,0.11,2661,7.35,132,0.36,7,0.01,22.0,0.06,29,0.08,14,0.03,16,0.04,2291,6.32,737,2.03,92,0.25,2068,5.71,9606,26.53,5014,13.85,22,0.06,22,0.06,13.0,0.03,412,1.13,1351,3.73,2196,6.06,98,0.27,1843,5.09
2,Trnavský kraj,204,Senica,57737,208,0.36,19,0.03,11106,19.23,57,0.09,5978,10.35,368,0.63,23,0.03,55.0,0.09,68,0.11,37,0.06,18,0.03,3441,5.95,1875,3.24,57,0.09,3199,5.54,13341,23.1,8253,14.29,30,0.05,41,0.07,23.0,0.03,668,1.15,1893,3.27,3588,6.21,72,0.12,3319,5.74
2,Trnavský kraj,205,Trnava,102914,239,0.23,28,0.02,19009,18.47,71,0.06,10516,10.21,464,0.45,42,0.04,93.0,0.09,102,0.09,35,0.03,71,0.06,6409,6.22,2162,2.1,103,0.1,5719,5.55,26363,25.61,14769,14.35,46,0.04,71,0.06,29.0,0.02,876,0.85,3968,3.85,6289,6.11,95,0.09,5345,5.19
3,Trenčiansky kraj,301,Bánovce nad Bebravou,20901,53,0.25,6,0.02,2922,13.98,19,0.09,1287,6.15,111,0.53,12,0.05,34.0,0.16,17,0.08,12,0.05,14,0.06,988,4.72,448,2.14,19,0.09,1442,6.89,6739,32.24,3754,17.96,5,0.02,17,0.08,6.0,0.02,228,1.09,418,1.99,1197,5.72,16,0.07,1137,5.43
