Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,28381,49,0.17,11,0.03,11804,41.59,6,0.02,1172,4.12,23,0.08,22,0.07,1.0,0.0,107,0.37,14,0.04,5,0.01,4297,15.14,306,1.07,16,0.05,877,3.09,4184,14.74,1913,6.74,147,0.51,12,0.04,3.0,0.01,99,0.34,1261,4.44,1548,5.45,10,0.03,494,1.74
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,72544,190,0.26,17,0.02,24510,33.78,41,0.05,4152,5.72,94,0.12,72,0.09,14.0,0.01,286,0.39,45,0.06,14,0.01,10111,13.93,1030,1.41,55,0.07,2832,3.9,12901,17.78,6770,9.33,619,0.85,49,0.06,18.0,0.02,320,0.44,3056,4.21,3359,4.63,46,0.06,1943,2.67
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,43772,81,0.18,16,0.03,15466,35.33,26,0.05,2189,5.0,67,0.15,22,0.05,8.0,0.01,137,0.31,18,0.04,11,0.02,6258,14.29,526,1.2,53,0.12,1860,4.24,7419,16.94,3997,9.13,155,0.35,25,0.05,6.0,0.01,243,0.55,2027,4.63,2055,4.69,41,0.09,1066,2.43
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,61498,170,0.27,15,0.02,20527,33.37,27,0.04,3033,4.93,107,0.17,36,0.05,17.0,0.02,178,0.28,24,0.03,14,0.02,8478,13.78,998,1.62,67,0.1,2653,4.31,10598,17.23,5935,9.65,174,0.28,48,0.07,13.0,0.02,355,0.57,3048,4.95,3232,5.25,47,0.07,1704,2.77
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,70161,220,0.31,15,0.02,21528,30.68,42,0.05,4288,6.11,122,0.17,44,0.06,25.0,0.03,222,0.31,23,0.03,19,0.02,8947,12.75,1271,1.81,63,0.08,3115,4.43,13239,18.86,7278,10.37,367,0.52,65,0.09,11.0,0.01,395,0.56,3292,4.69,3359,4.78,66,0.09,2145,3.05
1,Bratislavský kraj,102,Malacky,106,Malacky,44047,175,0.39,10,0.02,9540,21.65,41,0.09,3690,8.37,145,0.32,15,0.03,17.0,0.03,60,0.13,25,0.05,19,0.04,3698,8.39,1223,2.77,79,0.17,2091,4.74,10552,23.95,6267,14.22,26,0.05,27,0.06,16.0,0.03,418,0.94,1645,3.73,1961,4.45,46,0.1,2261,5.13
1,Bratislavský kraj,103,Pezinok,107,Pezinok,41194,122,0.29,14,0.03,10763,26.12,39,0.09,2876,6.98,188,0.45,17,0.04,32.0,0.07,67,0.16,37,0.08,21,0.05,3943,9.57,821,1.99,45,0.1,2283,5.54,8797,21.35,5097,12.37,21,0.05,45,0.1,9.0,0.02,288,0.69,1760,4.27,2198,5.33,55,0.13,1656,4.02
1,Bratislavský kraj,104,Senec,108,Senec,58655,145,0.24,20,0.03,16177,27.57,32,0.05,4530,7.72,113,0.19,100,0.17,21.0,0.03,198,0.33,16,0.02,35,0.05,6836,11.65,1321,2.25,58,0.09,2420,4.12,10231,17.44,6285,10.71,2323,3.96,29,0.04,9.0,0.01,296,0.5,2569,4.37,2887,4.92,36,0.06,1968,3.35
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,62365,178,0.28,16,0.02,8261,13.24,33,0.05,4756,7.62,65,0.1,557,0.89,25.0,0.04,1119,1.79,13,0.02,7,0.01,2041,3.27,874,1.4,15,0.02,846,1.35,8282,13.27,3689,5.91,28921,46.37,24,0.03,10.0,0.01,170,0.27,743,1.19,674,1.08,17,0.02,1029,1.64
2,Trnavský kraj,202,Galanta,202,Galanta,50733,162,0.31,26,0.05,7126,14.04,56,0.11,5225,10.29,215,0.42,152,0.29,12.0,0.02,291,0.57,23,0.04,18,0.03,2439,4.8,1165,2.29,51,0.1,1923,3.79,10647,20.98,5823,11.47,10331,20.36,30,0.05,12.0,0.02,393,0.77,1110,2.18,1408,2.77,46,0.09,2049,4.03
2,Trnavský kraj,203,Piešťany,204,Piešťany,36200,87,0.24,9,0.02,7417,20.48,41,0.11,2661,7.35,132,0.36,7,0.01,22.0,0.06,29,0.08,14,0.03,16,0.04,2291,6.32,737,2.03,92,0.25,2068,5.71,9606,26.53,5014,13.85,22,0.06,22,0.06,13.0,0.03,412,1.13,1351,3.73,2196,6.06,98,0.27,1843,5.09
