Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,28381,49.0,0.17,11.0,0.03,11804.0,41.59,6.0,0.02,1172.0,4.12,23.0,0.08,22.0,0.07,1.0,0.0,107.0,0.37,14.0,0.04,5.0,0.01,4297.0,15.14,306.0,1.07,16.0,0.05,877.0,3.09,4184.0,14.74,1913.0,6.74,147.0,0.51,12.0,0.04,3.0,0.01,99.0,0.34,1261.0,4.44,1548.0,5.45,10.0,0.03,494.0,1.74
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,12888,50.0,0.38,6.0,0.04,3489.0,27.07,13.0,0.1,942.0,7.3,21.0,0.16,22.0,0.17,4.0,0.03,81.0,0.62,4.0,0.03,6.0,0.04,1478.0,11.46,277.0,2.14,15.0,0.11,477.0,3.7,2700.0,20.94,1452.0,11.26,303.0,2.35,9.0,0.06,6.0,0.04,72.0,0.55,517.0,4.01,535.0,4.15,9.0,0.06,400.0,3.1
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,48663,102.0,0.2,9.0,0.01,17952.0,36.89,23.0,0.04,2365.0,4.85,55.0,0.11,32.0,0.06,6.0,0.01,167.0,0.34,29.0,0.05,5.0,0.01,7251.0,14.9,532.0,1.09,29.0,0.05,1909.0,3.92,7943.0,16.32,4072.0,8.36,220.0,0.45,27.0,0.05,9.0,0.01,183.0,0.37,2145.0,4.4,2402.0,4.93,32.0,0.06,1164.0,2.39
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,10993,38.0,0.34,2.0,0.01,3069.0,27.91,5.0,0.04,845.0,7.68,18.0,0.16,18.0,0.16,4.0,0.03,38.0,0.34,12.0,0.1,3.0,0.02,1382.0,12.57,221.0,2.01,11.0,0.1,446.0,4.05,2258.0,20.54,1246.0,11.33,96.0,0.87,13.0,0.11,3.0,0.02,65.0,0.59,394.0,3.58,422.0,3.83,5.0,0.04,379.0,3.44
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,26056,39.0,0.14,9.0,0.03,9890.0,37.95,13.0,0.04,1175.0,4.5,32.0,0.12,12.0,0.04,4.0,0.01,89.0,0.34,9.0,0.03,5.0,0.01,4042.0,15.51,282.0,1.08,35.0,0.13,1004.0,3.85,4034.0,15.48,2176.0,8.35,106.0,0.4,16.0,0.06,2.0,0.0,119.0,0.45,1194.0,4.58,1184.0,4.54,20.0,0.07,565.0,2.16
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,14320,28.0,0.19,6.0,0.04,4600.0,32.12,10.0,0.06,800.0,5.58,23.0,0.16,10.0,0.06,4.0,0.02,32.0,0.22,8.0,0.05,4.0,0.02,1801.0,12.57,196.0,1.36,15.0,0.1,673.0,4.69,2750.0,19.2,1472.0,10.27,43.0,0.3,7.0,0.04,3.0,0.02,96.0,0.67,647.0,4.51,683.0,4.76,17.0,0.11,392.0,2.73
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,3396,14.0,0.41,1.0,0.02,976.0,28.73,3.0,0.08,214.0,6.3,12.0,0.35,,,,,16.0,0.47,1.0,0.02,2.0,0.05,415.0,12.22,48.0,1.41,3.0,0.08,183.0,5.38,635.0,18.69,349.0,10.27,6.0,0.17,2.0,0.05,1.0,0.02,28.0,0.82,186.0,5.47,188.0,5.53,4.0,0.11,109.0,3.2
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,1142,7.0,0.61,,,432.0,37.82,2.0,0.17,63.0,5.51,2.0,0.17,1.0,0.08,2.0,0.17,10.0,0.87,,,1.0,0.08,163.0,14.27,15.0,1.31,,,42.0,3.67,146.0,12.78,104.0,9.1,,,3.0,0.26,,,6.0,0.52,64.0,5.6,62.0,5.42,,,17.0,1.48
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,9886,22.0,0.22,3.0,0.03,3073.0,31.08,6.0,0.06,542.0,5.48,25.0,0.25,7.0,0.07,4.0,0.04,18.0,0.18,5.0,0.05,1.0,0.01,1319.0,13.34,227.0,2.29,14.0,0.14,489.0,4.94,1735.0,17.55,981.0,9.92,16.0,0.16,5.0,0.05,2.0,0.02,68.0,0.68,462.0,4.67,475.0,4.8,11.0,0.11,376.0,3.8
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,20729,61.0,0.29,9.0,0.04,6592.0,31.8,9.0,0.04,1044.0,5.03,37.0,0.17,11.0,0.05,8.0,0.03,58.0,0.27,12.0,0.05,6.0,0.02,2607.0,12.57,345.0,1.66,22.0,0.1,897.0,4.32,3867.0,18.65,2246.0,10.83,65.0,0.31,16.0,0.07,4.0,0.01,99.0,0.47,1066.0,5.14,1045.0,5.04,19.0,0.09,584.0,2.81
