Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Okrsok,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,921,3.0,0.32,1.0,0.1,390.0,42.34,,,45.0,4.88,,,3.0,0.32,,,7.0,0.76,2.0,0.21,,,148.0,16.06,9.0,0.97,,,27.0,2.93,129.0,14.0,37.0,4.01,3.0,0.32,2.0,0.21,,,3.0,0.32,44.0,4.77,52.0,5.64,,,16.0,1.73
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,778,1.0,0.12,,,325.0,41.77,,,36.0,4.62,1.0,0.12,,,,,2.0,0.25,,,,,102.0,13.11,14.0,1.79,,,24.0,3.08,102.0,13.11,53.0,6.81,5.0,0.64,1.0,0.12,,,5.0,0.64,38.0,4.88,55.0,7.06,,,14.0,1.79
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,3,762,,,,,349.0,45.8,,,26.0,3.41,1.0,0.13,1.0,0.13,,,6.0,0.78,,,,,107.0,14.04,12.0,1.57,,,14.0,1.83,105.0,13.77,49.0,6.43,4.0,0.52,,,,,3.0,0.39,35.0,4.59,43.0,5.64,,,7.0,0.91
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,4,733,2.0,0.27,,,296.0,40.38,,,44.0,6.0,2.0,0.27,1.0,0.13,,,2.0,0.27,,,1.0,0.13,103.0,14.05,18.0,2.45,,,19.0,2.59,113.0,15.41,36.0,4.91,2.0,0.27,,,,,,,38.0,5.18,40.0,5.45,,,16.0,2.18
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,5,890,1.0,0.11,1.0,0.11,404.0,45.39,,,27.0,3.03,,,,,,,4.0,0.44,1.0,0.11,,,143.0,16.06,12.0,1.34,1.0,0.11,27.0,3.03,111.0,12.47,47.0,5.28,8.0,0.89,,,1.0,0.11,5.0,0.56,45.0,5.05,39.0,4.38,,,13.0,1.46
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,6,846,2.0,0.23,,,340.0,40.18,,,37.0,4.37,4.0,0.47,,,,,2.0,0.23,,,,,114.0,13.47,4.0,0.47,2.0,0.23,30.0,3.54,153.0,18.08,54.0,6.38,13.0,1.53,,,,,3.0,0.35,26.0,3.07,51.0,6.02,1.0,0.11,10.0,1.18
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,7,982,2.0,0.2,,,407.0,41.44,,,44.0,4.48,,,,,,,2.0,0.2,2.0,0.2,,,156.0,15.88,12.0,1.22,,,31.0,3.15,121.0,12.32,53.0,5.39,14.0,1.42,1.0,0.1,,,5.0,0.5,40.0,4.07,76.0,7.73,,,16.0,1.62
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,8,766,1.0,0.13,,,272.0,35.5,1.0,0.13,33.0,4.3,1.0,0.13,,,,,3.0,0.39,,,,,110.0,14.36,4.0,0.52,1.0,0.13,35.0,4.56,120.0,15.66,61.0,7.96,7.0,0.91,1.0,0.13,1.0,0.13,,,26.0,3.39,69.0,9.0,,,20.0,2.61
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,9,845,2.0,0.23,1.0,0.11,342.0,40.47,,,61.0,7.21,1.0,0.11,,,,,5.0,0.59,,,1.0,0.11,115.0,13.6,10.0,1.18,,,33.0,3.9,111.0,13.13,53.0,6.27,2.0,0.23,,,,,2.0,0.23,38.0,4.49,51.0,6.03,1.0,0.11,16.0,1.89
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,10,991,3.0,0.3,,,369.0,37.23,,,46.0,4.64,,,,,,,2.0,0.2,2.0,0.2,1.0,0.1,159.0,16.04,6.0,0.6,,,26.0,2.62,155.0,15.64,87.0,8.77,4.0,0.4,,,,,3.0,0.3,53.0,5.34,61.0,6.15,1.0,0.1,13.0,1.31
