Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet volebných okrskov
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,34
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,19
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,70
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,13
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,45
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,19
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,5
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,2
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,15
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,32
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,30
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,6
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,5
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,2
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,2
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,95
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,4
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,1
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,2
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,1
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,1
1,Bratislavský kraj,102,Malacky,106,Malacky,508012,Kostolište,2
1,Bratislavský kraj,102,Malacky,106,Malacky,508021,Kuchyňa,2
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,2
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,2
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,12
1,Bratislavský kraj,102,Malacky,106,Malacky,504556,Malé Leváre,1
1,Bratislavský kraj,102,Malacky,106,Malacky,508080,Marianka,2
1,Bratislavský kraj,102,Malacky,106,Malacky,508161,Pernek,1
1,Bratislavský kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,1
1,Bratislavský kraj,102,Malacky,106,Malacky,504637,Plavecký Mikuláš,1
1,Bratislavský kraj,102,Malacky,106,Malacky,508195,Plavecký Štvrtok,2
1,Bratislavský kraj,102,Malacky,106,Malacky,504769,Rohožník,3
1,Bratislavský kraj,102,Malacky,106,Malacky,504858,Sološnica,1
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,1
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,8
1,Bratislavský kraj,102,Malacky,106,Malacky,508241,Suchohrad,1
1,Bratislavský kraj,102,Malacky,106,Malacky,504947,Veľké Leváre,3
1,Bratislavský kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,2
1,Bratislavský kraj,102,Malacky,106,Malacky,500267,Záhorie (vojenský obvod),1
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,1
1,Bratislavský kraj,102,Malacky,106,Malacky,504980,Závod,2
1,Bratislavský kraj,102,Malacky,106,Malacky,508381,Zohor,3
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507806,Báhoň,1
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507849,Budmerice,2
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507857,Častá,2
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507873,Doľany,1
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507881,Dubová,1
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507946,Jablonec,1
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508047,Limbach,2
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508101,Modra,6
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,18
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508187,Píla,1
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508225,Slovenský Grob,5
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507989,Svätý Jur,5
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508250,Šenkvice,4
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508268,Štefanová,1
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508306,Viničné,2
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508314,Vinosady,1
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508322,Vištuk,1
1,Bratislavský kraj,104,Senec,108,Senec,507814,Bernolákovo,7
1,Bratislavský kraj,104,Senec,108,Senec,507822,Blatné,1
1,Bratislavský kraj,104,Senec,108,Senec,503681,Boldog,1
1,Bratislavský kraj,104,Senec,108,Senec,507865,Čataj,1
1,Bratislavský kraj,104,Senec,108,Senec,545333,Dunajská Lužná,5
1,Bratislavský kraj,104,Senec,108,Senec,507903,Hamuliakovo,2
1,Bratislavský kraj,104,Senec,108,Senec,503797,Hrubá Borša,1
1,Bratislavský kraj,104,Senec,108,Senec,503801,Hrubý Šúr,1
1,Bratislavský kraj,104,Senec,108,Senec,503819,Hurbanova Ves,1
1,Bratislavský kraj,104,Senec,108,Senec,507911,Chorvátsky Grob,5
1,Bratislavský kraj,104,Senec,108,Senec,555487,Igram,1
1,Bratislavský kraj,104,Senec,108,Senec,507938,Ivanka pri Dunaji,4
1,Bratislavský kraj,104,Senec,108,Senec,507997,Kalinkovo,1
1,Bratislavský kraj,104,Senec,108,Senec,555495,Kaplna,1
1,Bratislavský kraj,104,Senec,108,Senec,503851,Kostolná pri Dunaji,1
1,Bratislavský kraj,104,Senec,108,Senec,503894,Kráľová pri Senci,2
1,Bratislavský kraj,104,Senec,108,Senec,508071,Malinovo,2
1,Bratislavský kraj,104,Senec,108,Senec,508098,Miloslavov,3
1,Bratislavský kraj,104,Senec,108,Senec,508110,Most pri Bratislave,3
